TOPIC,TOPIC PROPORTION,TOP WORDS,abil,access,account,achiev,activ,actual,addit,address,affect,age,aim,al,algo-rithm,algorithm,allow,almost,alreadi,amount,an-not,analyt,analyz,anno-t,annot,annota-t,anoth,apart,appli,applic,area,as-soci,assert,assess,asso-ci,associatedwith,aswel,attempt,attent,attribut,author,automat,avail,avoid,background,biomed,bioport,block,bodi,box,care,carri,case,categori,caus,certain,challeng,class,clinic,collect,combin,common,communic,compani,compar,complex,compon,comput,con-cept,concept,conceptu,concern,condit,consid,consider,consist,contain,context,contribut,control,convert,coordin,correct,correl,correspond,cost,cover,creat,creativ,curat,current,data,databas,dataset,date,de-scrib,defin,delet,deriv,describ,descript,design,detail,detect,determin,devel-op,develop,devic,direct,diseas,display,distribut,document,domain,due,earli,effort,ehr,either,element,elimin,emerg,employ,enabl,end,endpoint,enhanc,entiti,environ,establish,et,etc,evalu,even,event,exampl,except,exchang,exclud,exist,experi,exploit,express,extend,extens,facilit,fact,fals,far,fig,filter,final,flow,focus,form,format,forth,framework,function,furthermor,futur,g,gene,general,generat,genet,genom,genotyp,give,goal,graphic,hand,health,healthcar,healthi,heart,highlight,human,identifi,ignor,illustr,implement,improv,in-clud,incorpor,individu,infer,inform,informat,initi,insert,instanc,instead,integr,interact,interest,interfac,inth,introduc,introduct,investig,involv,iter,journal,key,knowledg,known,laboratori,languag,last,latter,least,leav,led,level,licens,life,like,limit,line,link,list,literatur,live,locat,made,main,make,manag,manual,marker,measur,medic,medicin,memori,metric,modifi,monitor,moreov,mous,movement,multipl,mutat,near,now,number,object,occur,ofth,ofthes,omim,onth,ontol-ogi,ontolog,open,order,overal,owl,page,paper,part,particip,patient,peopl,perform,person,phe-notyp,pheno-typ,phenotyp,physic,platform,play,popul,possibl,presenc,present,process,produc,project,properti,protocol,provid,public,publish,purpos,rang,rate,rdf,rdfs,reaction,recent,record,refer,region,relat,relev,remain,remov,report,repositori,repres,represent,requir,resourc,respect,respons,result,retain,retriev,reveal,review,rule,s,save,schema,school,scienc,score,search,section,see,semant,sequenc,set,share,shown,simpl,sinc,singl,site,sourc,sparql,special,specif,stage,standard,start,status,step,still,storag,store,structur,subsequ,success,support,system,tabl,take,task,team,technolog,term,test,thegen,theontolog,therebi,therefor,thesam,though,throughout,thus,time,tool,total,toth,toward,trial,tripl,type,understand,uniform,unit,univers,uri,useof,user,util,valid,valu,various,vocabulari,volum,way,web,wella,without,work,write
1,0.02554128,"data, ontolog, metric, semant, open ",0.000313293,0.004170433,0.001680594,0.001729574,0.005874523,0.001036246,0.000656195,0.001388998,1.68E-144,0.0027651,0.002803829,0.005662982,3.70E-138,0.001045471,0.001012145,0.000345346,0.002094387,0.001391026,1.03E-157,0.001381376,0.001039833,2.84E-167,0.00021332,6.32E-204,0.000334693,0.001033395,0.000658455,0.001721706,0.001375523,2.00E-158,6.73E-146,0.00381543,1.29E-158,7.31E-243,0.001039493,0.002087498,0.002354455,0.000329874,0.003212127,0.002457285,0.003460217,0.000344194,0.001030139,0.006714458,0.00138235,0.001380807,0.001294817,4.23E-184,0.001732932,0.000344704,0.001303054,0.00172386,1.50E-126,3.86E-141,0.000327705,0.007262579,0.003102022,0.003136416,0.002778443,0.006601214,0.000696773,0.001034283,0.001038453,0.000675185,0.005560906,0.000686957,0.001727919,0.007585678,0.001391596,0.001387408,0.001662824,0.001719372,0.000340171,0.001745928,1.52E-140,0.002083364,0.004206139,0.005615861,0.001025209,0.001385529,1.15E-131,0.002057206,0.002783857,0.001039673,0.001379376,0.00067353,0.001017917,9.97E-152,0.000314824,0.034815829,0.002060497,0.003805971,0.001731806,0.001382751,0.003101027,2.06E-181,0.002447073,0.004826116,0.005917035,0.005917898,0.003483126,0.001703146,7.62E-143,0.001035476,0.006930235,0.0024172,0.001041292,0.002036694,3.33E-193,0.001015089,0.001726954,0.001704455,1.88E-142,0.001727742,0.001389989,0.00208195,0.000682541,0.001380276,0.000345473,0.002716798,0.001026958,0.004199147,0.002785931,0.001034089,4.51E-139,0.002638209,0.002434997,0.001380527,0.005676671,0.002437901,0.002059962,0.001738607,0.001363786,0.000949168,5.60E-143,0.001383329,4.26E-133,0.002393353,0.001041889,0.002436035,0.000319489,0.001739827,0.00103378,0.005995363,0.001379626,8.44E-200,0.001736864,0.000665894,2.22E-155,0.002437128,4.98E-156,0.00276762,0.002371123,0.00241565,0.000341685,0.002349219,0.000896848,0.002788545,0.001042721,0.001037994,1.18E-167,0.001376301,0.000680985,3.35E-150,2.09E-168,2.71E-252,0.000686301,0.003496178,0.001381506,0.001035071,0.01115126,0.002073764,0.002767168,0.001029903,0.001036654,1.28E-132,0.001698105,2.03E-191,0.000683221,0.000331248,0.001027625,0.00103859,0.00380952,4.68E-152,1.57E-154,0.008652606,1.81E-146,0.002630673,2.72E-191,0.009464796,2.41E-168,0.003459701,0.001385237,0.001730301,0.001028049,0.001380277,0.000687048,5.63E-247,0.0013857,0.00345384,0.002070586,0.004291647,0.001038606,0.003813473,4.77E-131,0.001910813,0.002756269,0.001223326,0.001043332,0.000331219,2.78E-204,0.001742226,0.002060073,0.000680113,0.001026339,0.001377685,0.00174375,0.001032248,0.007308899,0.001009083,0.00243071,0.002417839,0.001372071,0.001364379,0.001397134,0.000333239,0.001038453,0.000340004,0,0.003109699,0.002648435,0.001046333,0.004146124,0.013878358,1.58E-151,0.005536042,0.004173494,5.16E-164,0.001728855,0.000665922,1.76E-258,1.67E-187,9.12E-130,0.004542505,0.002384621,3.15E-144,0.001033051,0.000344041,2.69E-246,0.000347017,0.002073848,0.023578491,0.012075409,0.004905051,3.88E-163,0.002064876,0.003781239,0.001040215,0.002540964,0.001372689,0.003828003,0.001726469,0.004193753,0.00346083,4.77E-200,4.03E-193,2.46E-166,0.010350971,0.002769481,0.002069233,0.001035339,0.001011872,2.34E-229,0.003867096,0.00265166,0.006242946,0.001797178,0.003092192,0.00172503,0.006582258,0.001161714,0.004927526,0.00104787,0.001325769,0.002071435,0.007973744,0.001038148,0.001378777,0.003847832,0.00313917,0.003808113,2.62E-155,0.000960443,0.001376012,0.000342474,2.28E-159,1.58E-175,0.001034209,0.003074149,0.001715702,0.000322089,0.003137595,2.41E-138,0.001031432,0.001382754,7.60E-148,0.001739756,0.001033182,0.00103258,0.001376964,0.008888206,0.001035371,0.001019441,0.001161142,0.001468616,0.001032151,0.000328584,0.002065731,6.31E-133,0.012688689,0.000295376,0.001694417,0.002053622,0.000686323,0.001038107,0.003840998,0.000330754,0.003127329,0.002405235,0.001717162,0.001724153,0.001722363,0.000344953,0.003108699,0.00207474,0.001723134,0.001033494,5.14E-132,0.001044283,0.002758953,0.004179396,0.001045488,0.001398544,0.001449921,0.002677442,0.000295626,0.001725636,0.001380213,0.001042827,0.00277942,0.001953553,0.002056006,2.79E-271,0.001045406,0.002092188,0.002107394,0.001042932,0.001033457,0.000344672,0.000680653,0.006702636,0.005236647,0.001039582,0.00033307,0.002421734,0.001381596,0.001718853,0.001252152,0.003126877,0.001032497,0.002070134,0.002978263,0.001381679,1.14E-150,0.009370999,0.002432614,0.001033118,0.00311484,0.00211084,0.00279068,0.001394347,0.001716713,0.006593011,0.001726453,4.65E-134,0.004685416,0.0010344
2,0.01814655,"gene, annot, express, genotyp, deriv ",0.001289031,0.003254427,0.000679771,4.01E-83,3.94E-76,1.99E-190,0.003182511,0.000648383,0.001271192,1.30E-189,7.52E-85,1.77E-75,0.001255621,0.009521883,0.001928693,0.001886253,2.42E-79,4.05E-89,0.001887106,2.46E-256,1.10E-82,0.002534514,0.04873569,0.004420298,0.001331593,0.000628629,0.00195204,0.001317332,2.44E-92,0.00251525,0.001343714,1.59E-93,0.001262293,0.002018666,1.67E-154,0.000674688,7.75E-234,0.009837944,0.000669987,2.78E-79,0.001329898,0.002011733,0.002676683,0.004645033,1.43E-105,1.45E-181,0.000587961,0.00636164,4.52E-132,0.002026726,0.006582196,4.87E-162,0.004034493,0.001297555,0.001322476,0.00064092,2.61E-166,1.97E-77,8.08E-94,0.001993037,0.001342905,1.11E-278,1.25E-93,0.002030746,7.48E-117,0.002748935,5.89E-94,5.52E-85,2.25E-277,3.03E-93,0.004408719,1.70E-79,0.001900706,0.001973855,0.002008369,0.000656285,0.000656207,0.001306657,1.62E-162,4.20E-134,0.001376333,1.63E-86,0.000668739,1.08E-217,1.70E-115,0.005222445,0.001992715,0.001273928,0.003292262,0.005136163,0.002594951,1.57E-93,1.17E-107,0.001261017,0.000666896,0.003764741,0.034610644,0.001366705,0.000683842,0.001292647,0.004805344,8.95E-124,0.002686918,0.000630926,0.000681316,5.30301774491772e-314,0.000664547,0.015643958,0.005040881,0.00134522,5.29E-108,0.000671815,0.001265379,0.000632066,2.33E-131,5.28E-233,0.001348438,7.01E-114,0.003138725,3.24E-152,2.83E-93,3.87E-84,1.60E-91,2.68E-221,0.001431269,2.71E-121,6.63E-143,9.94E-106,7.28E-76,2.51E-115,0.001943886,0.000671421,9.72E-80,0.009478575,0.002515558,6.63E-129,0.009152773,5.88E-100,8.07E-69,1.06E-133,0.039783826,9.87E-111,2.23E-130,0.000655308,1.75E-79,0.005675532,9.51E-119,0.013893733,0.001979993,0.00065572,0.002527999,4.85E-86,0.000685652,1.55E-96,0.001280912,1.02E-77,0.007139263,6.58E-181,0.000635432,2.74E-112,0.099730445,9.20E-80,0.001297039,0.00554877,0.003950582,0.038265373,0.001339274,0.000691368,0.000626812,1.21E-110,9.37E-133,1.72E-237,2.25E-190,2.66E-106,5.39E-180,0.003997036,0.00198922,0.001254576,0.001926038,0.004426953,0.00328204,0.000635994,0.001269738,0.001305605,0.006974625,2.30E-93,0.001255945,0.000657183,0.014431212,1.20E-125,0.00193403,0.000635854,1.20E-81,1.08E-88,1.49E-170,0.000677654,0.001353625,0.001881974,0.000647659,0.001280798,9.41E-145,0.004679027,0.000665585,4.15E-101,0.002672117,0.000631371,2.93E-104,1.47E-64,1.80E-110,0.001953491,0.001882137,1.52E-94,0.00803888,0.001336998,7.16E-122,1.42E-134,0.000652162,0.001279127,0.001320095,0.000672302,1.67E-94,8.96E-190,0.002028465,0.005335347,6.01E-79,0.001310691,8.25E-104,0.001283925,0.02006993,1.29E-224,6.44E-129,6.41E-117,0,1.57E-108,0.001903186,7.01E-197,7.51E-82,0.032919186,1.69E-178,0.006971491,0.012842149,0.001259272,0.001263185,0.006008955,4.07E-117,0.001304632,0.001978065,0.001272908,0.002565061,0.001357966,4.45E-134,0.000612318,0.001309956,1.15E-101,0.001366575,2.15E-119,0.008714142,9.13E-93,0.001942335,6.90E-122,5.50E-91,1.16E-185,5.19E-125,0.001259443,0.001258155,0.001890818,0.025251645,2.07E-94,6.73E-181,2.67E-116,1.27E-106,0.002608306,0.002018274,0.001305382,0.008343022,0.000645713,0.00064456,2.27E-79,8.04E-212,0.004730878,0.000646016,1.57E-86,0.001263199,7.19E-77,4.83E-104,1.27E-128,8.93E-252,1.45E-149,0.001320696,0.000626634,1.59E-86,0.005189366,0.00135,2.07E-88,0.002559147,0.004392382,0.011292444,9.16E-107,0.001346394,0.000646039,0.001977955,7.79E-94,0.002709333,0.000632104,3.34E-121,0.00190495,1.29E-116,5.04E-182,0.000660829,0.009460381,0.001942877,8.29E-231,1.34E-164,4.86E-149,1.14E-80,3.96E-107,0.002765326,0.001956422,0.005918117,0.004614643,0.00397998,0.002580417,5.22E-75,0.001403987,0.000667509,0.00204002,0.010755036,0.005076178,0.003244776,1.71E-140,2.91E-143,0.003265333,0.00134575,5.71E-84,0.001352151,6.03E-224,2.60E-114,0.001357511,2.65E-191,9.19E-112,1.27E-103,7.74E-122,3.28E-131,1.27E-91,0.001294326,0.002057735,2.90E-85,1.17E-77,6.74E-86,9.82E-141,0.001965296,3.31E-99,0.001254786,4.38E-120,4.10E-142,0.005165932,0.000675721,5.56E-252,0.00189734,0.001413407,2.94E-99,0.006425455,0.000658961,0.001987441,1.31E-85,6.56E-144,3.48E-101,0.002036573,1.83E-109,4.88E-190,3.98E-104,5.42E-126,6.19E-137,0.001332673,0.006507304,3.85E-93,1.11E-154,1.60E-75,0.001422064,1.00E-108,3.61E-95,0.001270791,1.94E-130,3.25E-185,0.001313051,0.000671979,8.66E-147
3,0.01773326,"map, partial, concept, lexic, snome ",1.23E-135,0.000415334,0.00042248,0.000437011,0.000379091,0.000431415,0.002580959,0.00181122,4.03E-129,5.54E-106,4.36E-94,0.000735456,8.48E-95,1.79E-92,0.000881002,2.19E-182,0.000432746,3.46E-107,7.57E-109,1.33E-148,0.001735349,1.04E-130,0.000763427,5.55E-166,1.64E-91,2.00E-181,0.001708094,2.40E-112,2.57E-128,6.67E-115,2.11E-136,0.001357761,2.81E-119,4.82E-141,1.51E-148,0.001791605,8.22E-143,9.72E-91,0.002208611,4.05E-93,0.001304709,8.91E-143,2.78E-142,0.006138608,1.31E-178,9.28E-212,1.39E-133,1.23E-141,4.17E-105,1.06E-160,0.004490059,1.80E-99,3.11E-98,6.12E-129,2.40E-93,0.002589544,0.010419355,1.07E-116,0.000863492,0.001309424,5.06E-99,2.26E-144,0.000437387,0.004557808,1.99E-151,1.70E-91,2.64E-110,0.040557964,2.17E-100,1.94E-122,1.22E-108,0.001322548,3.40E-110,0.002696158,0.000826699,0.00043963,0.00270659,4.52E-96,2.12E-133,2.15E-138,3.16E-98,2.79E-185,0.003590786,8.72E-113,0.000432176,0.001294896,0.001333372,0.000415739,5.46E-105,0.001887682,0.000422048,0.001753976,0.000439095,1.56E-157,0.000390557,9.91E-137,0.007166481,0.00132476,0.000872069,0.000416643,2.91E-124,1.24E-120,7.78E-92,9.54E-131,0.00128301,1.75E-155,0.001354811,0.00264664,1.69E-144,0.001757867,9.80E-106,0.004463724,0.000843918,6.12E-172,0.000438186,0.001303685,1.36E-129,0.000421273,5.49E-146,0.000435467,4.36E-134,0.000440651,3.36E-97,1.43E-208,1.71E-144,3.96E-122,3.95E-108,0.000865933,0.001212883,0.000445932,0.002568531,0.000433226,0.000416737,0.007532277,0.000446116,1.45E-146,9.12E-129,0.001323905,1.27E-105,9.19E-97,0.001704734,0.001352464,0.00043933,7.77E-95,9.98E-121,8.84E-127,6.77E-158,0.00439716,0.000879925,0.002286849,9.96E-145,0.000844017,4.67E-91,1.23E-95,0.000883133,0.000428586,0.000371448,0.000446874,0.000904677,2.31E-129,0.000254117,0.003563914,0.001955835,0.000430261,5.21E-147,1.42E-253,0.000893744,4.78E-104,2.84E-148,0.001803594,0.001361285,0.000431148,1.50E-224,3.01E-156,1.80E-132,0.002211243,0.011730547,0.001295842,0.001288646,2.77E-105,0.000868504,0.000861268,5.45E-139,3.30E-113,0.002622915,0.000330933,4.33E-127,2.93E-98,1.30E-166,0.000412437,0.000882077,0.002213476,2.29E-120,7.33E-97,1.39E-117,4.10E-104,0.000399022,5.38E-137,0.006770447,0.001291425,9.02E-179,0.005299555,0.001301417,0.000432468,5.37E-115,1.10E-141,0.001281241,2.43E-150,0.000444095,0.000895064,1.08E-139,9.22E-98,0.010987348,0.00089884,0.000432216,3.42E-92,0.002708099,0.0004428,0.000859635,4.38E-96,1.85E-110,2.02E-199,6.94E-113,0.000874048,0.004038586,0.000432008,9.48E-101,0.000387456,0,5.47E-118,0.002257789,0.002261476,0,0.000427696,0.011033563,5.37E-138,0.002214566,4.31E-226,1.22E-184,0.000858795,4.24E-276,1.12E-137,0.000447037,0.003099119,0.000413859,0.002696983,0.002672455,8.06E-181,1.78E-229,7.45E-112,0.00041413,0.008704741,0.001763068,0.001789785,5.22E-102,0.000385846,0.004854778,1.92E-166,0.000838699,2.48E-129,0.001815401,1.10E-143,0.001673794,2.37E-111,0.000434198,0.000869776,0.016150359,1.03E-166,4.43E-162,3.40E-131,5.59E-160,0.001302286,2.43E-162,0.000862943,0.001691863,0.000848291,4.77E-118,0.000831049,4.97E-171,0.005328919,0.000420734,1.39E-104,0.001349235,0.000428739,0.000430503,7.19E-162,8.17E-148,4.44E-188,0.000433114,0.002716883,0.001301541,0.000431241,0.006137287,0.005479767,0.001799243,0.004893765,2.03E-191,7.24E-137,0.001295184,2.47E-99,0.000410997,0.000876587,4.88E-99,5.44E-152,0.001306147,1.89E-159,1.53E-92,9.93E-134,0.001309407,6.28E-109,0.001763089,5.40E-129,0.000859649,7.38E-164,0.00042244,2.39E-110,2.76E-94,0.001774153,4.58E-120,0.00568907,0.000862325,1.45E-93,7.19E-115,0.001724615,4.67E-106,0.001763369,0.001321424,0.000440056,0.004006018,3.90E-180,0.002641812,0.00314388,5.10E-209,0.001286465,2.62E-126,7.52E-117,0.000850503,8.48E-101,2.73E-113,5.34E-126,0.00181475,2.17E-108,4.88E-91,0.000403228,0.003940259,0.0017441,2.58E-108,6.60E-118,2.17E-115,0.000427705,0.03040502,4.24E-101,8.55E-176,0.000426915,0.000442035,0.002725482,1.03E-160,7.48E-152,6.95E-137,7.17E-111,0.00130023,0.000431037,0.001788176,0.000899893,3.37E-162,4.47E-182,5.12E-165,5.06E-109,6.82E-108,8.67E-177,4.68E-135,1.16E-118,1.61E-173,4.18E-165,1.18E-117,9.37E-130,0.005155124,2.96E-100,1.02E-101,4.12E-128,1.92E-102,0.000869816,0.000398493,1.63E-141,0.000433245,0.00630589,3.12E-129
4,0.01766993,"drug, ingredi, role, activ, product ",0.000543488,0.000521875,0.000532884,1.31E-115,0.033067656,1.49E-251,0.003371805,9.12E-103,1.24E-116,4.51E-109,1.71E-141,0.006090269,0.000547983,2.52E-141,0.001131239,1.07E-229,2.74E-227,1.55E-161,2.70E-161,5.06E-167,0.001670753,8.96E-162,0.000450159,9.50E-154,0.001657586,0.000546127,0.001654738,1.27E-147,1.30E-130,4.36E-114,0.001119413,1.15E-190,5.94E-154,3.54E-109,3.74E-238,1.62E-210,1.94E-156,0.00111627,0.002750286,0.000540705,0.002790455,4.86E-117,5.92E-109,0.005483864,3.20E-114,6.79E-285,0.001675338,1.48E-289,2.94E-113,0.00053481,0.003966195,3.08E-110,0.003329904,0.001099455,3.59E-195,0.005050865,0.006098216,0.001123498,0.000530598,0.003313378,1.57E-212,6.53E-161,0.001087915,0.000525415,0.001706565,2.60E-118,4.76E-267,0.002741067,4.45E-282,1.01E-224,6.19E-134,0.001075662,5.05E-160,3.45E-181,0.00166812,7.56E-187,0.001699126,0.000548459,3.31E-162,8.14E-266,7.86E-222,1.55E-110,0.001110139,3.25E-162,0.001697214,0.00457173,0.001655815,1.26E-102,0.001637613,0.002183994,1.20E-103,3.55E-131,9.81E-241,8.49E-172,0.009050731,5.67E-284,0.000564355,0.001094185,3.10E-104,0.001120026,1.19E-101,1.73E-210,0.000532734,1.40E-135,1.44E-126,1.12E-170,0.001122199,2.43E-124,2.54E-116,0.001666755,3.70E-117,0.00051879,4.57E-116,2.35E-162,6.81E-142,4.86E-223,0.001119171,9.89E-116,7.46E-250,4.21E-223,4.04E-136,0.000558165,1.74E-115,3.87E-231,4.17E-207,0.005093227,4.29E-173,1.66E-122,0.006083473,0.000549979,6.34E-153,8.80E-158,1.19E-124,0.006197696,5.80E-224,1.83E-117,0.000548822,0.002740716,1.84E-109,4.55E-161,0.000535525,1.44E-113,0.001133476,0.001138395,1.20E-163,8.42E-194,1.19E-164,4.15E-107,2.89E-160,2.86E-139,1.08E-270,5.62E-142,0.005701146,1.23E-102,8.35E-162,1.04E-113,0.002669223,0.001093159,0.002259319,0.001082072,0.001089604,0.001077896,6.59E-100,0.000558319,3.33E-111,6.03E-109,0.000549169,6.88E-119,2.95E-287,7.41E-159,0.000492341,1.66E-204,1.08E-262,2.61E-154,6.54E-197,1.42E-126,0.006217942,5.67E-294,0.001062469,1.44E-112,0.004408636,0.00170017,0.000554111,0.002194576,0.00028376,0.006133167,0.000533155,2.11E-107,0.000561402,0.001082521,1.74E-160,1.47E-100,0.001538753,0.001128064,7.25E-164,0.001059088,0.000547134,4.39E-248,0.002238357,0.002757854,4.80E-161,0.004463925,0.002207928,0.00045997,3.39E-108,5.70E-129,5.54E-102,0.000537416,0.000551509,4.97E-118,6.15E-167,0.00055012,0.003952023,0.001659543,0.00055877,0.002273421,6.42E-149,0.001095296,0.003959284,1.96E-105,0.0004559,2.74E-218,0.00055145,0.001647543,0.000528402,0.004569363,9.92E-157,0.000553228,0,3.73E-155,2.05E-121,0.000546039,0,1.43E-193,1.15E-111,2.98E-240,2.96E-219,1.63E-250,2.57E-264,0.000529648,4.93E-274,4.93E-161,0.000544651,0.002259309,0.00109743,0.000562378,0.000552992,1.23E-113,2.51E-264,2.12E-183,1.23E-135,0.008783487,0.002221166,6.85E-110,2.11E-109,0.002238967,0.004485115,1.52E-233,0.006740467,1.83E-157,0.001106716,1.59E-229,2.29E-102,7.97E-124,1.21E-173,4.68E-169,1.62E-169,0.002181698,2.92E-139,0.000559292,3.25E-104,0.001092947,6.53E-162,4.57E-145,0.011331783,2.82E-137,1.61E-103,0.000547756,4.51E-117,0.001612867,0.001082647,7.05E-129,3.23E-213,1.45E-162,9.13E-214,4.75E-109,1.10E-274,0.001096806,0.000539032,1.61E-178,7.56E-114,8.79E-177,0.002159928,9.38E-150,0.000544702,2.65E-261,3.50E-113,3.04E-102,0.016450013,0.009009423,0.002261526,0.000541915,0.000536546,8.89E-160,0.002249809,1.26E-175,2.65E-113,1.02E-187,0.001645778,4.24E-218,0.002779967,2.41E-291,9.53E-162,7.88E-116,7.14E-124,1.66E-256,4.78E-114,0.000540526,0.001067307,0.006667106,9.58E-163,0.000493012,7.27E-139,8.43E-111,1.44E-153,0.001068264,0.000551313,0.001093605,0.006781774,1.29E-107,4.86E-106,0.003375252,2.10E-158,5.88E-115,0.000547625,1.57E-201,0.00105572,0.000535777,1.08E-194,1.05E-108,0.002192694,0.000549527,4.76E-158,0.00102122,2.70E-111,0.00440279,5.71E-150,3.60E-156,1.81E-146,2.77E-158,0.009610128,3.69E-153,1.17E-164,4.17E-148,8.61E-248,0.002791466,1.47E-237,6.00E-196,9.78E-170,0.003837164,0.001636432,4.76E-137,0.004483239,0.002236819,3.69E-188,3.94E-144,3.90E-215,0.006111249,5.29E-116,1.72E-242,0.000547224,0.001675197,2.49E-243,1.15E-245,2.28E-142,3.46E-185,1.13E-106,0.001099837,0.00676169,7.49E-160,0.001095934,0.001067495,0.000549808,6.12E-165,0.000546488,0.008920153,1.67E-233
5,0.01761865,"ontolog, queri, reason, perform, time ",0.001892892,0.01317129,2.55E-150,2.29E-122,0.000900066,3.49E-129,0.000936511,1.62E-107,1.33E-154,1.05E-177,0.00092728,0.005635495,2.23E-192,1.11E-130,0.006598838,4.88E-181,0.000915085,0.001835344,1.60E-181,5.40E-201,9.33E-152,4.76E-141,1.25E-119,2.39E-149,2.16E-108,2.84E-134,0.00941792,5.74E-118,5.42E-114,1.59E-193,4.91E-134,0.000906436,2.68E-142,2.19E-160,2.55E-128,0.000913432,2.40E-189,0.000932437,0.007513998,3.55E-114,0.01036894,8.53E-130,5.15E-130,0.006570973,0.017578773,4.91E-147,4.82E-125,1.42E-148,2.78E-154,0.000918571,0.000931365,9.40E-154,2.41E-145,0.000923594,0.001899339,0.01213533,4.03E-141,3.71E-113,2.68E-126,0.003733965,7.93E-112,9.07E-154,0.000917763,0.004661508,2.68E-129,0.003707734,1.54E-165,2.34E-120,4.14E-182,1.60E-183,1.41E-138,2.26E-134,1.34E-144,0.003819962,0.009433449,4.25E-111,0.000919679,8.39E-113,1.24E-150,1.96E-147,7.88E-113,0.001822457,0.00092158,0.000910925,1.00E-126,4.61E-108,0.001876207,2.55E-109,0.001879606,0.005508085,6.19E-108,0.000934859,1.87E-121,3.89E-180,9.20E-111,1.15E-160,1.82E-114,5.00E-113,0.003719288,2.56E-114,2.36E-110,1.31E-156,1.15E-118,9.77E-136,0.000913531,6.05E-200,0.000938571,1.82E-132,7.18E-130,0.00184927,2.07E-118,0.001857371,0.000943785,4.30E-198,7.78E-101,3.80E-150,0.000948883,5.37E-114,1.79E-196,2.30E-123,2.67E-127,0.003712888,0.000919414,0.000919171,4.82E-127,6.97E-111,6.29E-127,1.67E-116,0.005634625,2.50E-117,0.00562783,0.002757667,3.07E-162,0.000920856,0.000923115,3.77E-145,0.000916251,0.000946617,0.001847669,1.05E-134,0.004763137,0.001886079,0.001864153,2.36E-108,2.20E-138,3.43E-192,0.000912969,0.000929688,1.21E-132,0.000928858,7.94E-215,0.001876011,2.23E-111,0.000928646,0.000920788,0.003725519,0.004661015,0.002740217,1.60E-134,9.81E-125,4.57E-123,0.000925101,0.003763526,3.44E-139,1.91E-136,5.51E-161,0.000935347,4.43E-117,1.84E-140,2.57E-113,9.57E-110,3.02E-168,5.28E-210,2.42E-147,7.13E-165,2.85E-107,0.005714166,0.002753986,1.57E-119,0.001885583,0.002853101,4.82E-162,1.87E-123,1.84E-141,0.004750426,0.001843324,1.91E-134,8.46E-107,1.50E-140,1.06E-128,2.01E-158,5.41E-110,9.49E-132,3.47E-103,0.000934918,0.000925039,8.67E-135,5.45E-151,3.42E-107,0.000925791,1.02E-118,0.005634602,2.95E-120,0.000912397,8.96E-128,6.77E-169,0.00278159,2.93E-119,4.91E-152,0.001842359,2.61E-231,4.67E-142,1.99E-126,0.00187534,6.90E-135,8.41E-143,0.001847736,8.70E-135,0.001849044,0.002815591,2.08E-143,4.03E-119,2.92E-143,0.001867619,2.07E-121,0.002798517,4.59E-112,0.000930346,0,4.02E-170,0.002760303,0.000927919,0,1.05E-134,4.42E-160,3.29E-199,6.81E-131,1.10E-144,5.02E-124,0.001900584,1.28E-215,6.43E-149,0.001909419,0.014412847,3.85E-132,1.04E-141,0.001857952,5.88E-175,8.04E-241,1.93E-133,0.001859339,0.095414228,0.002786804,0.00091492,7.03E-131,0.007469745,0.004703929,2.16E-162,0.000922177,9.47E-142,1.90E-147,2.01E-169,0.020049237,4.11E-158,3.14E-186,1.71E-177,2.98E-136,7.74E-135,1.18E-149,1.28E-117,4.05E-117,0.002840744,2.85E-232,0.001891406,0.003754498,2.08E-132,7.44E-119,1.64E-132,6.51E-189,0.016020017,0.002822955,0.000932005,0.000921941,2.05E-117,2.72E-172,0.000895191,0.000911108,1.15E-161,9.51E-104,0.002754676,1.37E-108,9.93E-140,0.002820311,5.66E-108,1.06E-119,1.15E-159,1.47E-215,0.005534828,3.81E-108,0.000927158,0.00188441,1.35E-105,0.00093106,0.004666198,0.001871996,6.88E-225,1.13E-131,2.22E-144,2.69E-153,1.00E-157,0.004659092,8.21E-173,1.54E-137,1.05E-161,0.002792029,5.18E-151,1.20E-101,1.25E-104,6.51E-115,0.00845337,8.69E-128,0.008477267,5.38E-111,0.00093436,9.28E-138,0.000916659,0.004678057,3.35E-137,0.001853698,0.002768178,2.44E-140,6.94E-114,0.000925628,0.002825772,2.01E-131,1.42E-166,5.00E-109,8.53E-118,8.46E-135,3.71E-127,5.11E-113,0.000917687,5.71E-118,0.00187683,0.002836376,0.000935481,9.76E-125,0.001851537,3.70E-147,0.000921978,0.001821992,0.01127765,3.10E-191,0.000963243,1.50E-129,0.003698778,0.000911501,5.12E-171,1.78E-141,0.001883277,0.019763404,0.000906899,0.002816366,1.52E-112,8.55E-143,1.13E-153,4.25E-146,0.005615468,1.33E-126,8.66E-135,0.002746057,0.003687757,7.91E-147,2.52E-153,0.000903533,0.004663085,9.30E-132,9.41E-131,4.11E-112,0.000923955,5.99E-187,2.33E-105,0.001846411,2.64E-153,0.000918972,0.001839482,5.63E-158
